App,UUID,Model,Record_Type,DownloadTimeStamp,UTC_TimeStamp,Local_TimeStamp,Unix_Time,Sample,Metric,Battery,Temperature,Humidity,Scaled_Weight,Weight_Scale_Factor,Weight,WeightL,WeightLRaw,WeightR,WeightRRaw,WeightL2,WeightR2
BAPP,49:03:C4,49,Logged_Data,1673640553,7/13/2022 23:57,7/13/2022 17:57,1657756675,1,FALSE,100,89.27,undefined,-0.48,1,-0.48,0.27,undefined,-0.41,undefined,0.18,-0.52
BAPP,49:03:C4,49,Logged_Data,1673640553,7/13/2022 23:58,7/13/2022 17:58,1657756693,3,FALSE,100,89.58,undefined,-0.5,1,-0.5,0.27,undefined,-0.42,undefined,0.17,-0.52
BAPP,49:03:C4,49,Logged_Data,1673640553,7/13/2022 23:58,7/13/2022 17:58,1657756695,4,FALSE,100,89.58,undefined,-0.48,1,-0.48,0.27,undefined,-0.41,undefined,0.18,-0.52
BAPP,49:03:C4,49,Logged_Data,1673640553,7/14/2022 0:58,7/13/2022 18:58,1657760295,5,FALSE,100,85.47,undefined,-110.99,1,-110.99,0.22,undefined,-46.13,undefined,0.13,-65.21
BAPP,49:03:C4,49,Logged_Data,1673640553,7/14/2022 1:58,7/13/2022 19:58,1657763895,6,FALSE,100,82.36,undefined,-107.6,1,-107.6,0.09,undefined,-44.52,undefined,0.11,-63.28
BAPP,49:03:C4,49,Logged_Data,1673640553,7/14/2022 2:58,7/13/2022 20:58,1657767495,7,FALSE,100,80.74,undefined,-106.71,1,-106.71,0.04,undefined,-43.98,undefined,0.09,-62.86
BAPP,49:03:C4,49,Logged_Data,1673640553,7/14/2022 3:58,7/13/2022 21:58,1657771095,8,FALSE,100,79.66,undefined,-106.16,1,-106.16,0.01,undefined,-43.43,undefined,0.08,-62.82
BAPP,49:03:C4,49,Logged_Data,1673640553,7/14/2022 4:58,7/13/2022 22:58,1657774695,9,FALSE,100,78.69,undefined,-105.14,1,-105.14,0,undefined,-43.25,undefined,0.06,-61.95
BAPP,49:03:C4,49,Logged_Data,1673640553,7/14/2022 5:58,7/13/2022 23:58,1657778295,10,FALSE,100,77.72,undefined,-104.4,1,-104.4,-0.02,undefined,-43.01,undefined,0.05,-61.42
BAPP,49:03:C4,49,Logged_Data,1673640553,7/14/2022 6:58,7/14/2022 0:58,1657781895,11,FALSE,100,76.96,undefined,-104.42,1,-104.42,-0.04,undefined,-42.9,undefined,0.04,-61.52
BAPP,49:03:C4,49,Logged_Data,1673640553,7/14/2022 7:58,7/14/2022 1:58,1657785495,12,FALSE,100,76.2,undefined,-103.85,1,-103.85,-0.07,undefined,-42.52,undefined,0.03,-61.29
BAPP,49:03:C4,49,Logged_Data,1673640553,7/14/2022 8:58,7/14/2022 2:58,1657789095,13,FALSE,100,75.27,undefined,-103.04,1,-103.04,-0.09,undefined,-42.06,undefined,0.01,-60.9
BAPP,49:03:C4,49,Logged_Data,1673640553,7/14/2022 9:58,7/14/2022 3:58,1657792695,14,FALSE,100,74.04,undefined,-102.12,1,-102.12,-0.11,undefined,-41.63,undefined,0,-60.38
BAPP,49:03:C4,49,Logged_Data,1673640553,7/14/2022 10:58,7/14/2022 4:58,1657796295,15,FALSE,100,72.95,undefined,-101.5,1,-101.5,-0.13,undefined,-41.37,undefined,-0.01,-59.99
BAPP,49:03:C4,49,Logged_Data,1673640553,7/14/2022 11:58,7/14/2022 5:58,1657799895,16,FALSE,100,72.08,undefined,-101.02,1,-101.02,-0.14,undefined,-40.9,undefined,-0.02,-59.96
BAPP,49:03:C4,49,Logged_Data,1673640553,7/14/2022 12:58,7/14/2022 6:58,1657803495,17,FALSE,100,71.36,undefined,-100.71,1,-100.71,-0.15,undefined,-40.97,undefined,-0.03,-59.56
BAPP,49:03:C4,49,Logged_Data,1673640553,7/14/2022 13:58,7/14/2022 7:58,1657807095,18,FALSE,100,70.57,undefined,-100.03,1,-100.03,-0.17,undefined,-40.45,undefined,-0.05,-59.36
BAPP,49:03:C4,49,Logged_Data,1673640553,7/14/2022 14:58,7/14/2022 8:58,1657810695,19,FALSE,100,70.17,undefined,-99.95,1,-99.95,-0.12,undefined,-40.36,undefined,-0.05,-59.42
BAPP,49:03:C4,49,Logged_Data,1673640553,7/14/2022 15:58,7/14/2022 9:58,1657814295,20,FALSE,100,70.68,undefined,-100.29,1,-100.29,-0.07,undefined,-40.64,undefined,-0.04,-59.54
BAPP,49:03:C4,49,Logged_Data,1673640553,7/14/2022 16:58,7/14/2022 10:58,1657817895,21,FALSE,100,71.79,undefined,-101.86,1,-101.86,-0.02,undefined,-41.54,undefined,-0.02,-60.28
BAPP,49:03:C4,49,Logged_Data,1673640553,7/14/2022 17:58,7/14/2022 11:58,1657821495,22,FALSE,100,73.27,undefined,-103.02,1,-103.02,0.02,undefined,-42.26,undefined,0,-60.78
BAPP,49:03:C4,49,Logged_Data,1673640553,7/14/2022 18:58,7/14/2022 12:58,1657825095,23,FALSE,100,74.78,undefined,-104.3,1,-104.3,0.06,undefined,-42.88,undefined,0.02,-61.5
BAPP,49:03:C4,49,Logged_Data,1673640553,7/14/2022 19:58,7/14/2022 13:58,1657828695,24,FALSE,100,76.2,undefined,-105.79,1,-105.79,0.11,undefined,-43.52,undefined,0.04,-62.42
BAPP,49:03:C4,49,Logged_Data,1673640553,7/14/2022 20:58,7/14/2022 14:58,1657832295,25,FALSE,100,77.52,undefined,-107.22,1,-107.22,0.15,undefined,-44.23,undefined,0.06,-63.2
BAPP,49:03:C4,49,Logged_Data,1673640553,7/14/2022 21:58,7/14/2022 15:58,1657835895,26,FALSE,100,78.51,undefined,-108,1,-108,0.18,undefined,-44.56,undefined,0.07,-63.69
BAPP,49:03:C4,49,Logged_Data,1673640553,7/14/2022 22:58,7/14/2022 16:58,1657839495,27,FALSE,100,79.01,undefined,-108.49,1,-108.49,0.19,undefined,-45.04,undefined,0.07,-63.71
BAPP,49:03:C4,49,Logged_Data,1673640553,7/14/2022 23:58,7/14/2022 17:58,1657843095,28,FALSE,100,79.1,undefined,-107.95,1,-107.95,0.19,undefined,-44.83,undefined,0.07,-63.38
BAPP,49:03:C4,49,Logged_Data,1673640553,7/15/2022 0:58,7/14/2022 18:58,1657846695,29,FALSE,100,78.8,undefined,-107.51,1,-107.51,0.18,undefined,-44.49,undefined,0.07,-63.27
BAPP,49:03:C4,49,Logged_Data,1673640553,7/15/2022 1:58,7/14/2022 19:58,1657850295,30,FALSE,100,78.25,undefined,-107.27,1,-107.27,0.17,undefined,-44.55,undefined,0.06,-62.95
BAPP,49:03:C4,49,Logged_Data,1673640553,7/15/2022 2:58,7/14/2022 20:58,1657853895,31,FALSE,100,77.48,undefined,-106.64,1,-106.64,0.15,undefined,-43.91,undefined,0.04,-62.92
BAPP,49:03:C4,49,Logged_Data,1673640553,7/15/2022 3:58,7/14/2022 21:58,1657857495,32,FALSE,100,76.73,undefined,-105.48,1,-105.48,0.14,undefined,-43.43,undefined,0.03,-62.22
BAPP,49:03:C4,49,Logged_Data,1673640553,7/15/2022 4:58,7/14/2022 22:58,1657861095,33,FALSE,100,75.93,undefined,-105.43,1,-105.43,0.13,undefined,-43.51,undefined,0.02,-62.07
BAPP,49:03:C4,49,Logged_Data,1673640553,7/15/2022 5:58,7/14/2022 23:58,1657864695,34,FALSE,100,75.09,undefined,-104.39,1,-104.39,0.13,undefined,-42.77,undefined,0.01,-61.76
BAPP,49:03:C4,49,Logged_Data,1673640553,7/15/2022 6:58,7/15/2022 0:58,1657868295,35,FALSE,100,74.33,undefined,-103.08,1,-103.08,0.12,undefined,-42.24,undefined,0,-60.96
BAPP,49:03:C4,49,Logged_Data,1673640553,7/15/2022 7:58,7/15/2022 1:58,1657871895,36,FALSE,100,73.41,undefined,-103.29,1,-103.29,0.09,undefined,-42.25,undefined,-0.01,-61.12
BAPP,49:03:C4,49,Logged_Data,1673640553,7/15/2022 8:58,7/15/2022 2:58,1657875495,37,FALSE,100,72.82,undefined,-102.37,1,-102.37,0.09,undefined,-41.94,undefined,-0.01,-60.51
BAPP,49:03:C4,49,Logged_Data,1673640553,7/15/2022 9:58,7/15/2022 3:58,1657879095,38,FALSE,100,72.33,undefined,-101.96,1,-101.96,0.08,undefined,-41.64,undefined,-0.02,-60.38
BAPP,49:03:C4,49,Logged_Data,1673640553,7/15/2022 10:58,7/15/2022 4:58,1657882695,39,FALSE,100,71.9,undefined,-101.49,1,-101.49,0.07,undefined,-41.34,undefined,-0.03,-60.19
BAPP,49:03:C4,49,Logged_Data,1673640553,7/15/2022 11:58,7/15/2022 5:58,1657886295,40,FALSE,100,71.47,undefined,-101.36,1,-101.36,0.05,undefined,-41.38,undefined,-0.03,-60
BAPP,49:03:C4,49,Logged_Data,1673640553,7/15/2022 12:58,7/15/2022 6:58,1657889895,41,FALSE,100,71.33,undefined,-101.13,1,-101.13,0.04,undefined,-41.21,undefined,-0.03,-59.93
BAPP,49:03:C4,49,Logged_Data,1673640553,7/15/2022 13:58,7/15/2022 7:58,1657893495,42,FALSE,100,71.36,undefined,-101.47,1,-101.47,0.04,undefined,-41.34,undefined,-0.03,-60.14
BAPP,49:03:C4,49,Logged_Data,1673640553,7/15/2022 14:58,7/15/2022 8:58,1657897095,43,FALSE,100,71.56,undefined,-101.73,1,-101.73,0.03,undefined,-41.54,undefined,-0.03,-60.19
BAPP,49:03:C4,49,Logged_Data,1673640553,7/15/2022 15:58,7/15/2022 9:58,1657900695,44,FALSE,100,72.48,undefined,-102.4,1,-102.4,0.05,undefined,-41.83,undefined,-0.01,-60.61
BAPP,49:03:C4,49,Logged_Data,1673640553,7/15/2022 16:58,7/15/2022 10:58,1657904295,45,FALSE,100,74.08,undefined,-104.04,1,-104.04,0.08,undefined,-42.72,undefined,0.01,-61.41
BAPP,49:03:C4,49,Logged_Data,1673640553,7/15/2022 17:58,7/15/2022 11:58,1657907895,46,FALSE,100,75.77,undefined,-105.45,1,-105.45,0.11,undefined,-43.35,undefined,0.03,-62.24
BAPP,49:03:C4,49,Logged_Data,1673640553,7/15/2022 18:58,7/15/2022 12:58,1657911495,47,FALSE,100,77.23,undefined,-107.01,1,-107.01,0.13,undefined,-44.31,undefined,0.05,-62.88
BAPP,49:03:C4,49,Logged_Data,1673640553,7/15/2022 19:58,7/15/2022 13:58,1657915095,48,FALSE,100,78.49,undefined,-108.07,1,-108.07,0.16,undefined,-44.76,undefined,0.07,-63.54
BAPP,49:03:C4,49,Logged_Data,1673640553,7/15/2022 20:58,7/15/2022 14:58,1657918695,49,FALSE,100,79.73,undefined,-109.25,1,-109.25,0.19,undefined,-45.22,undefined,0.1,-64.32
BAPP,49:03:C4,49,Logged_Data,1673640553,7/15/2022 21:58,7/15/2022 15:58,1657922295,50,FALSE,100,81.77,undefined,-108.07,1,-108.07,1.45,undefined,-46.22,undefined,2.06,-65.36
BAPP,49:03:C4,49,Logged_Data,1673640553,7/15/2022 22:58,7/15/2022 16:58,1657925895,51,FALSE,100,89.2,undefined,-118.59,1,-118.59,0.52,undefined,-50.3,undefined,0.19,-69
BAPP,49:03:C4,49,Logged_Data,1673640553,7/15/2022 23:58,7/15/2022 17:58,1657929495,52,FALSE,100,90.23,undefined,-96.47,1,-96.47,20.69,undefined,-51.01,undefined,3.54,-69.69
BAPP,49:03:C4,49,Logged_Data,1673640553,7/16/2022 0:58,7/15/2022 18:58,1657933095,53,FALSE,100,91.11,undefined,-96.56,1,-96.56,19.61,undefined,-51.2,undefined,4.44,-69.41
BAPP,49:03:C4,49,Logged_Data,1673640553,7/16/2022 1:58,7/15/2022 19:58,1657936695,54,FALSE,100,89.61,undefined,-94.28,1,-94.28,19.34,undefined,-49.85,undefined,4.72,-68.49
BAPP,49:03:C4,49,Logged_Data,1673640553,7/16/2022 2:58,7/15/2022 20:58,1657940295,55,FALSE,100,86.59,undefined,-91.11,1,-91.11,19.44,undefined,-48.13,undefined,4.27,-66.69
BAPP,49:03:C4,49,Logged_Data,1673640553,7/16/2022 3:58,7/15/2022 21:58,1657943895,56,FALSE,100,82.27,undefined,-87.25,1,-87.25,19.56,undefined,-45.92,undefined,3.7,-64.59
BAPP,49:03:C4,49,Logged_Data,1673640553,7/16/2022 4:58,7/15/2022 22:58,1657947495,57,FALSE,100,78.33,undefined,-82.79,1,-82.79,19.52,undefined,-43.67,undefined,3.63,-62.27
BAPP,49:03:C4,49,Logged_Data,1673640553,7/16/2022 5:58,7/15/2022 23:58,1657951095,58,FALSE,100,75.39,undefined,-79.99,1,-79.99,19.44,undefined,-42.15,undefined,3.63,-60.91
BAPP,49:03:C4,49,Logged_Data,1673640553,7/16/2022 6:58,7/16/2022 0:58,1657954695,59,FALSE,100,73.14,undefined,-78.64,1,-78.64,19.38,undefined,-41.24,undefined,3.58,-60.36
BAPP,49:03:C4,49,Logged_Data,1673640553,7/16/2022 7:58,7/16/2022 1:58,1657958295,60,FALSE,100,71.49,undefined,-77.13,1,-77.13,19.36,undefined,-40.54,undefined,3.52,-59.47
BAPP,49:03:C4,49,Logged_Data,1673640553,7/16/2022 8:58,7/16/2022 2:58,1657961895,61,FALSE,100,69.49,undefined,-76.08,1,-76.08,19.29,undefined,-40.02,undefined,3.56,-58.91
BAPP,49:03:C4,49,Logged_Data,1673640553,7/16/2022 9:58,7/16/2022 3:58,1657965495,62,FALSE,100,67.26,undefined,-74.15,1,-74.15,19.2,undefined,-38.95,undefined,3.55,-57.95
BAPP,49:03:C4,49,Logged_Data,1673640553,7/16/2022 10:58,7/16/2022 4:58,1657969095,63,FALSE,100,65.13,undefined,-72.76,1,-72.76,19.15,undefined,-38.18,undefined,3.5,-57.23
BAPP,49:03:C4,49,Logged_Data,1673640553,7/16/2022 11:58,7/16/2022 5:58,1657972695,64,FALSE,100,63.5,undefined,-71.62,1,-71.62,19.1,undefined,-37.62,undefined,3.52,-56.62
BAPP,49:03:C4,49,Logged_Data,1673640553,7/16/2022 12:58,7/16/2022 6:58,1657976295,65,FALSE,100,63.68,undefined,-71.94,1,-71.94,19.07,undefined,-37.85,undefined,3.64,-56.8
BAPP,49:03:C4,49,Logged_Data,1673640553,7/16/2022 13:58,7/16/2022 7:58,1657979895,66,FALSE,100,66.65,undefined,-74.94,1,-74.94,19.06,undefined,-39.51,undefined,3.67,-58.16
BAPP,49:03:C4,49,Logged_Data,1673640553,7/16/2022 14:58,7/16/2022 8:58,1657983495,67,FALSE,100,71.24,undefined,-78.96,1,-78.96,19,undefined,-41.43,undefined,3.91,-60.44
BAPP,49:03:C4,49,Logged_Data,1673640553,7/16/2022 15:58,7/16/2022 9:58,1657987095,68,FALSE,100,78.06,undefined,-85.29,1,-85.29,18.97,undefined,-44.65,undefined,4.21,-63.82
BAPP,49:03:C4,49,Logged_Data,1673640553,7/16/2022 16:58,7/16/2022 10:58,1657990695,69,FALSE,100,85.28,undefined,-92.76,1,-92.76,18.51,undefined,-48.78,undefined,4.82,-67.31
BAPP,49:03:C4,49,Logged_Data,1673640553,7/16/2022 17:58,7/16/2022 11:58,1657994295,70,FALSE,100,91.94,undefined,-99.76,1,-99.76,18.18,undefined,-52.37,undefined,5.3,-70.87
BAPP,49:03:C4,49,Logged_Data,1673640553,7/16/2022 18:58,7/16/2022 12:58,1657997895,71,FALSE,100,97.46,undefined,-105.56,1,-105.56,17.54,undefined,-55.49,undefined,5.94,-73.55
BAPP,49:03:C4,49,Logged_Data,1673640553,7/16/2022 19:58,7/16/2022 13:58,1658001495,72,FALSE,100,100.4,undefined,-109.07,1,-109.07,17.07,undefined,-57.13,undefined,6.48,-75.49
BAPP,49:03:C4,49,Logged_Data,1673640553,7/16/2022 20:58,7/16/2022 14:58,1658005095,73,FALSE,100,102.45,undefined,-111.28,1,-111.28,16.4,undefined,-58.35,undefined,7.15,-76.48
BAPP,49:03:C4,49,Logged_Data,1673640553,7/16/2022 21:58,7/16/2022 15:58,1658008695,74,FALSE,100,103.31,undefined,-112.67,1,-112.67,15.85,undefined,-59.02,undefined,7.78,-77.28
BAPP,49:03:C4,49,Logged_Data,1673640553,7/16/2022 22:58,7/16/2022 16:58,1658012295,75,FALSE,100,102.74,undefined,-110.11,1,-110.11,15.21,undefined,-57.74,undefined,8.36,-75.94
