App,UUID,Model,Record_Type,DownloadTimeStamp,UTC_TimeStamp,Local_TimeStamp,Unix_Time,Sample,Metric,Battery,Temperature,Humidity,Scaled_Weight,Weight_Scale_Factor,Weight,WeightL,WeightLRaw,WeightR,WeightRRaw,WeightL2,WeightR2
BAPP,49:03:B9,49,Logged_Data,1673640652,7/15/2022 21:17,7/15/2022 15:17,1657919843,1,FALSE,100,86.88,undefined,0.49,1,0.49,0.2,undefined,-0.29,undefined,0.52,0.06
BAPP,49:03:B9,49,Logged_Data,1673640652,7/15/2022 21:17,7/15/2022 15:17,1657919861,3,FALSE,100,86.84,undefined,0.56,1,0.56,0.22,undefined,-0.26,undefined,0.52,0.08
BAPP,49:03:B9,49,Logged_Data,1673640652,7/15/2022 21:17,7/15/2022 15:17,1657919863,4,FALSE,100,86.91,undefined,0.56,1,0.56,0.22,undefined,-0.26,undefined,0.52,0.08
BAPP,49:03:B9,49,Logged_Data,1673640652,7/15/2022 22:17,7/15/2022 16:17,1657923463,5,FALSE,100,85.26,undefined,13.65,1,13.65,1.22,undefined,5.62,undefined,6.18,0.63
BAPP,49:03:B9,49,Logged_Data,1673640652,7/15/2022 23:17,7/15/2022 17:17,1657927063,6,FALSE,100,90.39,undefined,14.57,1,14.57,0.22,undefined,7.9,undefined,3.21,3.24
BAPP,49:03:B9,49,Logged_Data,1673640652,7/16/2022 0:17,7/15/2022 18:17,1657930663,7,FALSE,100,92.11,undefined,17.9,1,17.9,0.28,undefined,8.68,undefined,8.88,0.06
BAPP,49:03:B9,49,Logged_Data,1673640652,7/16/2022 1:17,7/15/2022 19:17,1657934263,8,FALSE,100,92.21,undefined,17.68,1,17.68,0.29,undefined,8.6,undefined,8.73,0.06
BAPP,49:03:B9,49,Logged_Data,1673640652,7/16/2022 2:17,7/15/2022 20:17,1657937863,9,FALSE,100,90.68,undefined,17.61,1,17.61,0.27,undefined,8.62,undefined,8.66,0.06
BAPP,49:03:B9,49,Logged_Data,1673640652,7/16/2022 3:17,7/15/2022 21:17,1657941463,10,FALSE,100,87.2,undefined,17.47,1,17.47,0.1,undefined,8.67,undefined,8.64,0.06
BAPP,49:03:B9,49,Logged_Data,1673640652,7/16/2022 4:17,7/15/2022 22:17,1657945063,11,FALSE,100,82.31,undefined,17.26,1,17.26,0.02,undefined,8.69,undefined,8.49,0.06
BAPP,49:03:B9,49,Logged_Data,1673640652,7/16/2022 5:17,7/15/2022 23:17,1657948663,12,FALSE,100,78.27,undefined,17.13,1,17.13,0,undefined,8.7,undefined,8.37,0.06
BAPP,49:03:B9,49,Logged_Data,1673640652,7/16/2022 6:17,7/16/2022 0:17,1657952263,13,FALSE,100,75.29,undefined,17.05,1,17.05,0,undefined,8.71,undefined,8.27,0.07
BAPP,49:03:B9,49,Logged_Data,1673640652,7/16/2022 7:17,7/16/2022 1:17,1657955863,14,FALSE,100,73.13,undefined,17.01,1,17.01,0,undefined,8.72,undefined,8.21,0.08
BAPP,49:03:B9,49,Logged_Data,1673640652,7/16/2022 8:17,7/16/2022 2:17,1657959463,15,FALSE,100,71.24,undefined,16.96,1,16.96,0,undefined,8.73,undefined,8.14,0.09
BAPP,49:03:B9,49,Logged_Data,1673640652,7/16/2022 9:17,7/16/2022 3:17,1657963063,16,FALSE,100,69.13,undefined,16.9,1,16.9,0.01,undefined,8.73,undefined,8.05,0.11
BAPP,49:03:B9,49,Logged_Data,1673640652,7/16/2022 10:17,7/16/2022 4:17,1657966663,17,FALSE,100,67,undefined,16.88,1,16.88,0.06,undefined,8.71,undefined,7.96,0.15
