App,UUID,Model,Record_Type,DownloadTimeStamp,UTC_TimeStamp,Local_TimeStamp,Unix_Time,Sample,Metric,Battery,Temperature,Humidity,Scaled_Weight,Weight_Scale_Factor,Weight,WeightL,WeightLRaw,WeightR,WeightRRaw,WeightL2,WeightR2
BAPP,49:03:BF,49,Logged_Data,1673640313,07/13/2022 11:07 PM,07/13/2022 5:07 PM,1657753629,1,false,100,90.14,undefined,-1.06,1,-1.06,-0.43,undefined,0.79,undefined,-1.07,-0.35
BAPP,49:03:BF,49,Logged_Data,1673640313,07/13/2022 11:07 PM,07/13/2022 5:07 PM,1657753647,3,false,100,90.28,undefined,-1,1,-1,-0.36,undefined,0.78,undefined,-1.07,-0.35
BAPP,49:03:BF,49,Logged_Data,1673640313,07/13/2022 11:07 PM,07/13/2022 5:07 PM,1657753649,4,false,100,90.24,undefined,-0.98,1,-0.98,-0.35,undefined,0.78,undefined,-1.06,-0.35
BAPP,49:03:BF,49,Logged_Data,1673640313,07/14/2022 12:07 AM,07/13/2022 6:07 PM,1657757249,5,false,100,89.47,undefined,11.100000000000001,1,11.100000000000001,-0.32,undefined,6.8,undefined,4.91,-0.29
BAPP,49:03:BF,49,Logged_Data,1673640313,07/14/2022 1:07 AM,07/13/2022 7:07 PM,1657760849,6,false,100,84.02,undefined,10.82,1,10.82,-0.58,undefined,6.15,undefined,5.35,-0.1
BAPP,49:03:BF,49,Logged_Data,1673640313,07/14/2022 2:07 AM,07/13/2022 8:07 PM,1657764449,7,false,100,80.92,undefined,10.520000000000001,1,10.520000000000001,-0.73,undefined,5.95,undefined,5.36,-0.06
BAPP,49:03:BF,49,Logged_Data,1673640313,07/14/2022 3:07 AM,07/13/2022 9:07 PM,1657768049,8,false,100,79.26,undefined,10.39,1,10.39,-0.79,undefined,5.85,undefined,5.37,-0.04
BAPP,49:03:BF,49,Logged_Data,1673640313,07/14/2022 4:07 AM,07/13/2022 10:07 PM,1657771649,9,false,100,78.13,undefined,10.31,1,10.31,-0.83,undefined,5.8,undefined,5.37,-0.03
BAPP,49:03:BF,49,Logged_Data,1673640313,07/14/2022 5:07 AM,07/13/2022 11:07 PM,1657775249,10,false,100,77.16,undefined,10.280000000000001,1,10.280000000000001,-0.84,undefined,5.77,undefined,5.37,-0.02
BAPP,49:03:BF,49,Logged_Data,1673640313,07/14/2022 6:07 AM,07/14/2022 12:07 AM,1657778849,11,false,100,76.38,undefined,10.250000000000002,1,10.250000000000002,-0.85,undefined,5.75,undefined,5.36,-0.01
BAPP,49:03:BF,49,Logged_Data,1673640313,07/14/2022 7:07 AM,07/14/2022 1:07 AM,1657782449,12,false,100,75.74,undefined,10.240000000000002,1,10.240000000000002,-0.85,undefined,5.73,undefined,5.36,0
BAPP,49:03:BF,49,Logged_Data,1673640313,07/14/2022 8:07 AM,07/14/2022 2:07 AM,1657786049,13,false,100,75.09,undefined,10.209999999999999,1,10.209999999999999,-0.86,undefined,5.72,undefined,5.35,0
BAPP,49:03:BF,49,Logged_Data,1673640313,07/14/2022 9:07 AM,07/14/2022 3:07 AM,1657789649,14,false,100,74.13,undefined,10.2,1,10.2,-0.86,undefined,5.72,undefined,5.34,0
BAPP,49:03:BF,49,Logged_Data,1673640313,07/14/2022 10:07 AM,07/14/2022 4:07 AM,1657793249,15,false,100,73.18,undefined,10.19,1,10.19,-0.87,undefined,5.72,undefined,5.33,0.01
BAPP,49:03:BF,49,Logged_Data,1673640313,07/14/2022 11:07 AM,07/14/2022 5:07 AM,1657796849,16,false,100,72.3,undefined,10.18,1,10.18,-0.87,undefined,5.72,undefined,5.32,0.01
BAPP,49:03:BF,49,Logged_Data,1673640313,07/14/2022 12:07 PM,07/14/2022 6:07 AM,1657800449,17,false,100,71.54,undefined,10.17,1,10.17,-0.87,undefined,5.7,undefined,5.32,0.02
BAPP,49:03:BF,49,Logged_Data,1673640313,07/14/2022 1:07 PM,07/14/2022 7:07 AM,1657804049,18,false,100,70.8,undefined,10.17,1,10.17,-0.87,undefined,5.7,undefined,5.31,0.03
BAPP,49:03:BF,49,Logged_Data,1673640313,07/14/2022 2:07 PM,07/14/2022 8:07 AM,1657807649,19,false,100,70.1,undefined,10.139999999999999,1,10.139999999999999,-0.88,undefined,5.7,undefined,5.29,0.03
BAPP,49:03:BF,49,Logged_Data,1673640313,07/14/2022 3:07 PM,07/14/2022 9:07 AM,1657811249,20,false,100,69.65,undefined,10.129999999999999,1,10.129999999999999,-0.87,undefined,5.71,undefined,5.26,0.03
BAPP,49:03:BF,49,Logged_Data,1673640313,07/14/2022 4:07 PM,07/14/2022 10:07 AM,1657814849,21,false,100,69.83,undefined,10.15,1,10.15,-0.84,undefined,5.74,undefined,5.23,0.02
BAPP,49:03:BF,49,Logged_Data,1673640313,07/14/2022 5:07 PM,07/14/2022 11:07 AM,1657818449,22,false,100,70.52,undefined,10.169999999999998,1,10.169999999999998,-0.82,undefined,5.76,undefined,5.21,0.02
BAPP,49:03:BF,49,Logged_Data,1673640313,07/14/2022 6:07 PM,07/14/2022 12:07 PM,1657822049,23,false,100,71.56,undefined,10.190000000000001,1,10.190000000000001,-0.8,undefined,5.78,undefined,5.19,0.02
BAPP,49:03:BF,49,Logged_Data,1673640313,07/14/2022 7:07 PM,07/14/2022 1:07 PM,1657825649,24,false,100,72.69,undefined,10.209999999999999,1,10.209999999999999,-0.78,undefined,5.8,undefined,5.18,0.01
BAPP,49:03:BF,49,Logged_Data,1673640313,07/14/2022 8:07 PM,07/14/2022 2:07 PM,1657829249,25,false,100,73.81,undefined,10.24,1,10.24,-0.76,undefined,5.82,undefined,5.17,0.01
BAPP,49:03:BF,49,Logged_Data,1673640313,07/14/2022 9:07 PM,07/14/2022 3:07 PM,1657832849,26,false,100,74.94,undefined,10.26,1,10.26,-0.75,undefined,5.84,undefined,5.16,0.01
BAPP,49:03:BF,49,Logged_Data,1673640313,07/14/2022 10:07 PM,07/14/2022 4:07 PM,1657836449,27,false,100,75.79,undefined,10.290000000000001,1,10.290000000000001,-0.73,undefined,5.86,undefined,5.15,0.01
BAPP,49:03:BF,49,Logged_Data,1673640313,07/14/2022 11:07 PM,07/14/2022 5:07 PM,1657840049,28,false,100,76.28,undefined,10.32,1,10.32,-0.72,undefined,5.88,undefined,5.15,0.01
BAPP,49:03:BF,49,Logged_Data,1673640313,07/15/2022 12:07 AM,07/14/2022 6:07 PM,1657843649,29,false,100,76.55,undefined,10.32,1,10.32,-0.71,undefined,5.87,undefined,5.15,0.01
BAPP,49:03:BF,49,Logged_Data,1673640313,07/15/2022 1:07 AM,07/14/2022 7:07 PM,1657847249,30,false,100,76.47,undefined,10.309999999999999,1,10.309999999999999,-0.71,undefined,5.85,undefined,5.15,0.02
BAPP,49:03:BF,49,Logged_Data,1673640313,07/15/2022 2:07 AM,07/14/2022 8:07 PM,1657850849,31,false,100,76.15,undefined,10.309999999999999,1,10.309999999999999,-0.7,undefined,5.84,undefined,5.15,0.02
BAPP,49:03:BF,49,Logged_Data,1673640313,07/15/2022 3:07 AM,07/14/2022 9:07 PM,1657854449,32,false,100,75.61,undefined,10.34,1,10.34,-0.68,undefined,5.84,undefined,5.15,0.03
BAPP,49:03:BF,49,Logged_Data,1673640313,07/15/2022 4:07 AM,07/14/2022 10:07 PM,1657858049,33,false,100,75.05,undefined,10.31,1,10.31,-0.68,undefined,5.82,undefined,5.14,0.03
BAPP,49:03:BF,49,Logged_Data,1673640313,07/15/2022 5:07 AM,07/14/2022 11:07 PM,1657861649,34,false,100,74.33,undefined,10.31,1,10.31,-0.67,undefined,5.82,undefined,5.13,0.03
BAPP,49:03:BF,49,Logged_Data,1673640313,07/15/2022 6:07 AM,07/15/2022 12:07 AM,1657865249,35,false,100,73.58,undefined,10.33,1,10.33,-0.65,undefined,5.84,undefined,5.11,0.03
BAPP,49:03:BF,49,Logged_Data,1673640313,07/15/2022 7:07 AM,07/15/2022 1:07 AM,1657868849,36,false,100,72.87,undefined,10.339999999999998,1,10.339999999999998,-0.63,undefined,5.85,undefined,5.09,0.03
BAPP,49:03:BF,49,Logged_Data,1673640313,07/15/2022 8:07 AM,07/15/2022 2:07 AM,1657872449,37,false,100,72.21,undefined,10.329999999999998,1,10.329999999999998,-0.63,undefined,5.84,undefined,5.08,0.04
BAPP,49:03:BF,49,Logged_Data,1673640313,07/15/2022 9:07 AM,07/15/2022 3:07 AM,1657876049,38,false,100,71.63,undefined,10.379999999999999,1,10.379999999999999,-0.63,undefined,5.84,undefined,5.13,0.04
BAPP,49:03:BF,49,Logged_Data,1673640313,07/15/2022 10:07 AM,07/15/2022 4:07 AM,1657879649,39,false,100,71.22,undefined,10.36,1,10.36,-0.62,undefined,5.83,undefined,5.11,0.04
BAPP,49:03:BF,49,Logged_Data,1673640313,07/15/2022 11:07 AM,07/15/2022 5:07 AM,1657883249,40,false,100,70.84,undefined,10.36,1,10.36,-0.61,undefined,5.82,undefined,5.11,0.04
BAPP,49:03:BF,49,Logged_Data,1673640313,07/15/2022 12:07 PM,07/15/2022 6:07 AM,1657886849,41,false,100,70.5,undefined,10.34,1,10.34,-0.62,undefined,5.81,undefined,5.11,0.04
BAPP,49:03:BF,49,Logged_Data,1673640313,07/15/2022 1:07 PM,07/15/2022 7:07 AM,1657890449,42,false,100,70.41,undefined,10.350000000000001,1,10.350000000000001,-0.61,undefined,5.8,undefined,5.11,0.05
BAPP,49:03:BF,49,Logged_Data,1673640313,07/15/2022 2:07 PM,07/15/2022 8:07 AM,1657894049,43,false,100,70.34,undefined,10.42,1,10.42,-0.61,undefined,5.8,undefined,5.18,0.05
BAPP,49:03:BF,49,Logged_Data,1673640313,07/15/2022 3:07 PM,07/15/2022 9:07 AM,1657897649,44,false,100,70.48,undefined,10.39,1,10.39,-0.61,undefined,5.8,undefined,5.15,0.05
BAPP,49:03:BF,49,Logged_Data,1673640313,07/15/2022 4:07 PM,07/15/2022 10:07 AM,1657901249,45,false,100,71.16,undefined,10.39,1,10.39,-0.61,undefined,5.81,undefined,5.14,0.05
BAPP,49:03:BF,49,Logged_Data,1673640313,07/15/2022 5:07 PM,07/15/2022 11:07 AM,1657904849,46,false,100,72.35,undefined,10.399999999999999,1,10.399999999999999,-0.61,undefined,5.83,undefined,5.14,0.04
BAPP,49:03:BF,49,Logged_Data,1673640313,07/15/2022 6:07 PM,07/15/2022 12:07 PM,1657908449,47,false,100,73.61,undefined,10.43,1,10.43,-0.61,undefined,5.85,undefined,5.15,0.04
BAPP,49:03:BF,49,Logged_Data,1673640313,07/15/2022 7:07 PM,07/15/2022 1:07 PM,1657912049,48,false,100,74.78,undefined,10.43,1,10.43,-0.6,undefined,5.85,undefined,5.15,0.03
BAPP,49:03:BF,49,Logged_Data,1673640313,07/15/2022 8:07 PM,07/15/2022 2:07 PM,1657915649,49,false,100,75.88,undefined,10.459999999999999,1,10.459999999999999,-0.59,undefined,5.87,undefined,5.15,0.03
