App,UUID,Model,Record_Type,DownloadTimeStamp,UTC_TimeStamp,Local_TimeStamp,Unix_Time,Sample,Metric,Battery,Temperature,Humidity,Scaled_Weight,Weight_Scale_Factor,Weight,WeightL,WeightLRaw,WeightR,WeightRRaw,WeightL2,WeightR2
BAPP,49:03:C5,49,Logged_Data,1673640605,7/13/2022 23:59,7/13/2022 17:59,1657756742,1,FALSE,100,89.09,undefined,-0.52,1,-0.52,-0.14,undefined,0.1,undefined,-0.11,-0.37
BAPP,49:03:C5,49,Logged_Data,1673640605,7/13/2022 23:59,7/13/2022 17:59,1657756760,3,FALSE,100,89.22,undefined,-0.55,1,-0.55,-0.15,undefined,0.07,undefined,-0.1,-0.37
BAPP,49:03:C5,49,Logged_Data,1673640605,7/13/2022 23:59,7/13/2022 17:59,1657756762,4,FALSE,100,89.24,undefined,-0.53,1,-0.53,-0.15,undefined,0.08,undefined,-0.1,-0.36
BAPP,49:03:C5,49,Logged_Data,1673640605,7/14/2022 0:59,7/13/2022 18:59,1657760362,5,FALSE,100,85.22,undefined,5.19,1,5.19,1.74,undefined,0.77,undefined,0.95,1.73
BAPP,49:03:C5,49,Logged_Data,1673640605,7/14/2022 1:59,7/13/2022 19:59,1657763962,6,FALSE,100,81.82,undefined,4.91,1,4.91,1.52,undefined,0.7,undefined,0.98,1.71
BAPP,49:03:C5,49,Logged_Data,1673640605,7/14/2022 2:59,7/13/2022 20:59,1657767562,7,FALSE,100,80.24,undefined,4.76,1,4.76,1.39,undefined,0.68,undefined,1.03,1.66
BAPP,49:03:C5,49,Logged_Data,1673640605,7/14/2022 3:59,7/13/2022 21:59,1657771162,8,FALSE,100,79.06,undefined,4.7,1,4.7,1.31,undefined,0.69,undefined,1.08,1.62
BAPP,49:03:C5,49,Logged_Data,1673640605,7/14/2022 4:59,7/13/2022 22:59,1657774762,9,FALSE,100,78.09,undefined,4.6,1,4.6,1.27,undefined,0.7,undefined,1.03,1.6
BAPP,49:03:C5,49,Logged_Data,1673640605,7/14/2022 5:59,7/13/2022 23:59,1657778362,10,FALSE,100,77.19,undefined,4.59,1,4.59,1.24,undefined,0.71,undefined,1.07,1.57
BAPP,49:03:C5,49,Logged_Data,1673640605,7/14/2022 6:59,7/14/2022 0:59,1657781962,11,FALSE,100,76.45,undefined,4.62,1,4.62,1.22,undefined,0.74,undefined,1.12,1.54
BAPP,49:03:C5,49,Logged_Data,1673640605,7/14/2022 7:59,7/14/2022 1:59,1657785562,12,FALSE,100,75.65,undefined,4.59,1,4.59,1.24,undefined,0.73,undefined,1.07,1.55
BAPP,49:03:C5,49,Logged_Data,1673640605,7/14/2022 8:59,7/14/2022 2:59,1657789162,13,FALSE,100,74.76,undefined,4.66,1,4.66,1.28,undefined,0.74,undefined,1.08,1.56
BAPP,49:03:C5,49,Logged_Data,1673640605,7/14/2022 9:59,7/14/2022 3:59,1657792762,14,FALSE,100,73.67,undefined,4.66,1,4.66,1.32,undefined,0.69,undefined,1.03,1.62
BAPP,49:03:C5,49,Logged_Data,1673640605,7/14/2022 10:59,7/14/2022 4:59,1657796362,15,FALSE,100,72.59,undefined,4.65,1,4.65,1.32,undefined,0.71,undefined,1,1.62
BAPP,49:03:C5,49,Logged_Data,1673640605,7/14/2022 11:59,7/14/2022 5:59,1657799962,16,FALSE,100,71.76,undefined,4.71,1,4.71,1.36,undefined,0.7,undefined,1.01,1.64
BAPP,49:03:C5,49,Logged_Data,1673640605,7/14/2022 12:59,7/14/2022 6:59,1657803562,17,FALSE,100,71.09,undefined,4.72,1,4.72,1.38,undefined,0.68,undefined,0.99,1.67
BAPP,49:03:C5,49,Logged_Data,1673640605,7/14/2022 13:59,7/14/2022 7:59,1657807162,18,FALSE,100,70.26,undefined,4.74,1,4.74,1.41,undefined,0.67,undefined,0.97,1.69
BAPP,49:03:C5,49,Logged_Data,1673640605,7/14/2022 14:59,7/14/2022 8:59,1657810762,19,FALSE,100,69.76,undefined,4.82,1,4.82,1.44,undefined,0.7,undefined,1.01,1.67
BAPP,49:03:C5,49,Logged_Data,1673640605,7/14/2022 15:59,7/14/2022 9:59,1657814362,20,FALSE,100,70.08,undefined,4.89,1,4.89,1.45,undefined,0.75,undefined,1.05,1.64
BAPP,49:03:C5,49,Logged_Data,1673640605,7/14/2022 16:59,7/14/2022 10:59,1657817962,21,FALSE,100,71,undefined,4.86,1,4.86,1.4,undefined,0.82,undefined,1.06,1.58
BAPP,49:03:C5,49,Logged_Data,1673640605,7/14/2022 17:59,7/14/2022 11:59,1657821562,22,FALSE,100,72.23,undefined,4.82,1,4.82,1.36,undefined,0.87,undefined,1.07,1.52
BAPP,49:03:C5,49,Logged_Data,1673640605,7/14/2022 18:59,7/14/2022 12:59,1657825162,23,FALSE,100,73.65,undefined,4.8,1,4.8,1.31,undefined,0.94,undefined,1.1,1.45
BAPP,49:03:C5,49,Logged_Data,1673640605,7/14/2022 19:59,7/14/2022 13:59,1657828762,24,FALSE,100,74.96,undefined,4.92,1,4.92,1.29,undefined,1.02,undefined,1.23,1.38
BAPP,49:03:C5,49,Logged_Data,1673640605,7/14/2022 20:59,7/14/2022 14:59,1657832362,25,FALSE,100,76.29,undefined,4.9,1,4.9,1.24,undefined,1.09,undefined,1.24,1.33
BAPP,49:03:C5,49,Logged_Data,1673640605,7/14/2022 21:59,7/14/2022 15:59,1657835962,26,FALSE,100,77.27,undefined,4.89,1,4.89,1.19,undefined,1.17,undefined,1.26,1.27
BAPP,49:03:C5,49,Logged_Data,1673640605,7/14/2022 22:59,7/14/2022 16:59,1657839562,27,FALSE,100,77.86,undefined,4.83,1,4.83,1.13,undefined,1.22,undefined,1.27,1.21
BAPP,49:03:C5,49,Logged_Data,1673640605,7/14/2022 23:59,7/14/2022 17:59,1657843162,28,FALSE,100,78.04,undefined,4.86,1,4.86,1.08,undefined,1.27,undefined,1.35,1.16
BAPP,49:03:C5,49,Logged_Data,1673640605,7/15/2022 0:59,7/14/2022 18:59,1657846762,29,FALSE,100,77.91,undefined,4.9,1,4.9,1.05,undefined,1.31,undefined,1.41,1.13
BAPP,49:03:C5,49,Logged_Data,1673640605,7/15/2022 1:59,7/14/2022 19:59,1657850362,30,FALSE,100,77.46,undefined,4.8,1,4.8,0.99,undefined,1.34,undefined,1.39,1.08
BAPP,49:03:C5,49,Logged_Data,1673640605,7/15/2022 2:59,7/14/2022 20:59,1657853962,31,FALSE,100,76.81,undefined,4.82,1,4.82,0.94,undefined,1.38,undefined,1.47,1.03
BAPP,49:03:C5,49,Logged_Data,1673640605,7/15/2022 3:59,7/14/2022 21:59,1657857562,32,FALSE,100,76.09,undefined,4.86,1,4.86,0.93,undefined,1.39,undefined,1.54,1
BAPP,49:03:C5,49,Logged_Data,1673640605,7/15/2022 4:59,7/14/2022 22:59,1657861162,33,FALSE,100,75.18,undefined,4.83,1,4.83,0.96,undefined,1.39,undefined,1.45,1.03
BAPP,49:03:C5,49,Logged_Data,1673640605,7/15/2022 5:59,7/14/2022 23:59,1657864762,34,FALSE,100,74.33,undefined,4.89,1,4.89,1.01,undefined,1.42,undefined,1.42,1.04
